all_house_data.res_id,all_house_data.res_type,all_house_data.pc_detail_url,all_house_data.m_detail_url,all_house_data.city_name,all_house_data.area_name,all_house_data.business_circle_name,all_house_data.residential_name,all_house_data.property_address,all_house_data.house_type,all_house_data.build_area,all_house_data.orientation,all_house_data.floor,all_house_data.fitment_type,all_house_data.price,all_house_data.apartment_type,all_house_data.rent_type,all_house_data.audit_status,all_house_data.audit_time,all_house_data.wbo_call_count,all_house_data.wbo_mobile_call_count,all_house_data.house_room_features,all_house_data.datestr
1069960,HOUSE,http://www.ishangzu.com/zheng/1069960.html,http://m.ishangzu.com/hz/zheng/1069960.html,杭州市,西湖区,古荡,古荡新村东,古荡新村东1幢1单元0403室,2-1-1-1-1,60.00,南,4|7,简装,2100.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1070031,HOUSE,http://www.ishangzu.com/zheng/1070031.html,http://m.ishangzu.com/hz/zheng/1070031.html,杭州市,下城区,和平,联锦大厦,联锦大厦A座0602室,1-0-1-0-0,185.00,南,6|32,简装,10000.00,,,已下架,2016-07-27 22:23:30.0,0,0,,2017-04-14
1070099,HOUSE,http://www.ishangzu.com/zheng/1070099.html,http://m.ishangzu.com/hz/zheng/1070099.html,杭州市,下城区,朝晖,朝晖一区,朝晖一区43幢3单元0103室,2-1-0-1-0,51.00,南,1|5,简装,1600.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1070116,HOUSE,http://www.ishangzu.com/zheng/1070116.html,http://m.ishangzu.com/hz/zheng/1070116.html,杭州市,上城区,吴山,柳浪阁,柳浪阁2幢2单元0202室,3-1-1-2-1,100.00,,2|7,精装配置齐全,8000.00,,,申请已发布,2016-07-27 22:23:30.0,0,0,,2017-04-14
1070153,HOUSE,http://www.ishangzu.com/zheng/1070153.html,http://m.ishangzu.com/hz/zheng/1070153.html,杭州市,下城区,潮鸣,红枫苑,红枫苑24幢0102室,3-1-1-1-1,82.45,东南,1|0,精装配置齐全,3500.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1070165,HOUSE,http://www.ishangzu.com/zheng/1070165.html,http://m.ishangzu.com/hz/zheng/1070165.html,杭州市,上城区,潮鸣,大学苑,大学苑1幢1单元0601室,3-2-1-2-2,119.23,北,6|20,毛坯,6000.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1070267,HOUSE,http://www.ishangzu.com/zheng/1070267.html,http://m.ishangzu.com/hz/zheng/1070267.html,杭州市,下城区,庆春,未央村,未央村4号1单元0501室,2-1-1-1-0,60.00,南,5|7,简装,3500.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1070268,HOUSE,http://www.ishangzu.com/zheng/1070268.html,http://m.ishangzu.com/hz/zheng/1070268.html,杭州市,下城区,湖滨,东坡路,东坡路66号0508室,3-1-1-1-1,108.00,东北,5|10,简装,12500.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1070275,HOUSE,http://www.ishangzu.com/zheng/1070275.html,http://m.ishangzu.com/hz/zheng/1070275.html,杭州市,下城区,武林,环城西路(北),环城西路(北)38号3单元0602室,2-1-1-1-1,51.00,东,6|0,精装配置齐全,3000.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1070369,HOUSE,http://www.ishangzu.com/zheng/1070369.html,http://m.ishangzu.com/hz/zheng/1070369.html,杭州市,下城区,孩儿巷,仙林苑,仙林苑18幢4单元0601室,2-1-0-1-1,47.00,南,6|7,精装配置齐全,3650.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
